Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL274144,1,CCCCCCN(C)C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,active,598.766,4.809,5,7,0,228,0.928571429,1.595238095,2.261904762,556.43,6.096910013
CHEMBL100624,0,CS(=O)(=O)Nc1ccc(OCC(O)CNCc2ccc(-n3ccnc3)cc2)cc1,inactive,416.503,1.7733,3,7,0,154,1.137931034,1.862068966,2.482758621,392.311,4.480172006
CHEMBL332010,0,N#CN/C(=N\c1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc(C(N)=O)c1,active,443.511,2.21648,5,6,0,168,1.181818182,2,2.696969697,418.311,6.008773924
CHEMBL275511,2,CCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,active,542.658,3.2965,6,7,0,204,0.921052632,1.578947368,2.236842105,508.386,6.26760624
CHEMBL274782,0,COc1ccc(CC[C@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1,active,345.439,2.7514,3,5,0,136,1,1.64,2.28,318.223,8
CHEMBL276659,0,O=C(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccccc1,active,406.482,3.2165,4,5,0,156,0.933333333,1.633333333,2.333333333,380.274,8.173925197
CHEMBL98975,0,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1,active,353.422,2.2806,2,6,0,136,1,1.769230769,2.5,330.238,7.397940009
CHEMBL95754,0,Cc1ccccc1OCC(O)CN1CCN(c2ccc(NS(C)(=O)=O)cc2)CC1,intermediate,419.547,1.92842,2,6,0,158,1.068965517,1.724137931,2.344827586,390.315,5.48148606
CHEMBL421005,0,Cc1cccc(OCC(O)CNCCOc2ccc(-n3ccnc3)cc2)c1,active,367.449,2.58902,2,6,0,142,1.111111111,1.962962963,2.703703704,342.249,6.568636236
CHEMBL67886,1,COc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(I)cc3)cc2)cc1,active,582.46,3.6726,3,6,0,176,0.939393939,1.575757576,2.212121212,555.244,6.065501549
CHEMBL99585,0,CS(=O)(=O)Nc1ccc(OCC(O)CNCCOc2ccc(-n3ccnc3)cc2)cc1,intermediate,446.529,1.6521,3,8,0,166,1.064516129,1.741935484,2.387096774,420.321,5.619788758
CHEMBL37335,2,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(COc3ccc(F)cc3)n2)cc1,intermediate,588.661,5.1212,3,8,0,216,0.976190476,1.738095238,2.452380952,559.429,5.187086643
CHEMBL67534,0,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)cn1,intermediate,476.986,2.69,4,7,0,170,1.0625,1.78125,2.4375,451.786,5.698970004
CHEMBL36609,2,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2coc(COc3ccc(F)c(F)c3)n2)cc1,intermediate,606.651,5.2603,3,8,0,222,0.976744186,1.76744186,2.488372093,578.427,5.187086643
CHEMBL198949,0,CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CCN(Cc2ccc(F)cc2)C[C@H]1C,active,429.923,4.1836,1,3,0,158,1.2,1.933333333,2.6,404.723,6
CHEMBL291467,1,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,active,463.647,6.4796,1,4,0,174,0.909090909,1.696969697,2.515151515,430.383,6.657577319
CHEMBL33013,1,CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,intermediate,507.616,3.7506,3,8,0,188,1.027777778,1.805555556,2.5,478.384,5.070581074
CHEMBL1263,0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,active,415.574,4.1074,4,5,0,166,0.866666667,1.6,2.366666667,378.278,6.299997603
CHEMBL288418,0,Cc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)o1,intermediate,478.574,3.71152,3,7,0,176,1.029411765,1.794117647,2.441176471,452.366,5.15490196
